"cluster","page type","URL","primary query","secondary queries","search intent","traffic potential bucket","monetization relevance","cannibalization risk","content status","implementation priority"
"PDF workflows","tool","/en/tools/linearize-pdf","linearize pdf","Linearize PDF online|browser linearize pdf|private linearize pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/fix-page-size","fix page size","Fix Page Size online|browser fix page size|private fix page size","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/page-dimensions","page dimensions","Page Dimensions online|browser page dimensions|private page dimensions","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/remove-restrictions","remove restrictions","Remove Restrictions online|browser remove restrictions|private remove restrictions","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/digital-sign-pdf","digital sign pdf","Digital Sign PDF online|browser digital sign pdf|private digital sign pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/validate-signature","validate signature","Validate Signature online|browser validate signature|private validate signature","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/find-and-redact","find and redact","Find And Redact online|browser find and redact|private find and redact","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/change-permissions","change permissions","Change Permissions online|browser change permissions|private change permissions","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-booklet","pdf booklet","PDF Booklet online|browser pdf booklet|private pdf booklet","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/n-up-pdf","n up pdf","N Up PDF online|browser n up pdf|private n up pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/grid-combine","grid combine","Grid Combine online|browser grid combine|private grid combine","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/combine-single-page","combine single page","Combine Single Page online|browser combine single page|private combine single page","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/reverse-pages","reverse pages","Reverse Pages online|browser reverse pages|private reverse pages","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/rotate-custom","rotate custom","Rotate Custom online|browser rotate custom|private rotate custom","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/deskew-pdf","deskew pdf","Deskew PDF online|browser deskew pdf|private deskew pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/alternate-merge","alternate merge","Alternate Merge online|browser alternate merge|private alternate merge","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-to-zip","pdf to zip","PDF To Zip online|browser pdf to zip|private pdf to zip","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-to-tiff","pdf to tiff","PDF To Tiff online|browser pdf to tiff|private pdf to tiff","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/pdf-to-svg","pdf to svg","PDF To SVG online|browser pdf to svg|private pdf to svg","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/webp-to-pdf","webp to pdf","WEBP To PDF online|browser webp to pdf|private webp to pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/svg-to-pdf","svg to pdf","SVG To PDF online|browser svg to pdf|private svg to pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/heic-to-pdf","heic to pdf","HEIC To PDF online|browser heic to pdf|private heic to pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","tool","/en/tools/tiff-to-pdf","tiff to pdf","Tiff To PDF online|browser tiff to pdf|private tiff to pdf","Complete one PDF task in the browser","High","High","Medium","live - upgrade depth","P0"
"PDF workflows","cluster-hub","/en/tools/category/organize-manage","organize manage pdf tools","best organize manage pdf tools|pdf organize manage hub","Route users to the right PDF task","High","High","Low","live - strengthen hub copy","P0"
"PDF workflows","cluster-hub","/en/tools/category/optimize-repair","optimize repair pdf tools","best optimize repair pdf tools|pdf optimize repair hub","Route users to the right PDF task","High","High","Low","live - strengthen hub copy","P0"
"PDF workflows","cluster-hub","/en/tools/category/convert-to-pdf","convert to pdf pdf tools","best convert to pdf pdf tools|pdf convert to pdf hub","Route users to the right PDF task","High","High","Low","live - strengthen hub copy","P0"
"PDF workflows","cluster-hub","/en/tools/category/convert-from-pdf","convert from pdf pdf tools","best convert from pdf pdf tools|pdf convert from pdf hub","Route users to the right PDF task","High","High","Low","live - strengthen hub copy","P0"
"PDF workflows","cluster-hub","/en/tools/category/edit-annotate","edit annotate pdf tools","best edit annotate pdf tools|pdf edit annotate hub","Route users to the right PDF task","High","High","Low","live - strengthen hub copy","P0"
"PDF workflows","cluster-hub","/en/tools/category/secure-pdf","secure pdf pdf tools","best secure pdf pdf tools|pdf secure pdf hub","Route users to the right PDF task","High","High","Low","live - strengthen hub copy","P0"
"PDF workflows","troubleshooting","/en/guides/pdf-too-large-to-upload","pdf too large to upload","pdf too large to upload fix|why pdf too large to upload","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-password-protected-cant-edit","pdf password protected cant edit","pdf password protected cant edit fix|why pdf password protected cant edit","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-conversion-output-looks-wrong","pdf conversion output looks wrong","pdf conversion output looks wrong fix|why pdf conversion output looks wrong","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/scanned-pdf-text-not-selectable","scanned pdf text not selectable","scanned pdf text not selectable fix|why scanned pdf text not selectable","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-file-corrupted","pdf file corrupted","pdf file corrupted fix|why pdf file corrupted","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-pages-wrong-size","pdf pages wrong size","pdf pages wrong size fix|why pdf pages wrong size","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-metadata-still-visible","pdf metadata still visible","pdf metadata still visible fix|why pdf metadata still visible","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-upload-rejected","pdf upload rejected","pdf upload rejected fix|why pdf upload rejected","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-annotations-not-showing","pdf annotations not showing","pdf annotations not showing fix|why pdf annotations not showing","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-form-fields-not-fillable","pdf form fields not fillable","pdf form fields not fillable fix|why pdf form fields not fillable","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-signature-invalid","pdf signature invalid","pdf signature invalid fix|why pdf signature invalid","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-bookmarks-missing","pdf bookmarks missing","pdf bookmarks missing fix|why pdf bookmarks missing","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-images-too-low-quality","pdf images too low quality","pdf images too low quality fix|why pdf images too low quality","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-slow-to-open","pdf slow to open","pdf slow to open fix|why pdf slow to open","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-permissions-block-printing","pdf permissions block printing","pdf permissions block printing fix|why pdf permissions block printing","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-redaction-not-secure","pdf redaction not secure","pdf redaction not secure fix|why pdf redaction not secure","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-page-order-wrong","pdf page order wrong","pdf page order wrong fix|why pdf page order wrong","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-ocr-language-issues","pdf ocr language issues","pdf ocr language issues fix|why pdf ocr language issues","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-attachment-not-visible","pdf attachment not visible","pdf attachment not visible fix|why pdf attachment not visible","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","troubleshooting","/en/guides/pdf-too-many-pages","pdf too many pages","pdf too many pages fix|why pdf too many pages","Diagnose a PDF failure and route to the right tool","High","High","Low","planned - route required","P1"
"PDF workflows","comparison","/en/guides/compress-pdf-vs-linearize-pdf","compress pdf vs linearize pdf","compress or pdf or vs or linearize or pdf|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/split-pdf-vs-extract-pages","split pdf vs extract pages","split or pdf or vs or extract or pages|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/merge-pdf-vs-organize-pdf","merge pdf vs organize pdf","merge or pdf or vs or organize or pdf|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/redact-pdf-vs-remove-metadata","redact pdf vs remove metadata","redact or pdf or vs or remove or metadata|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/encrypt-pdf-vs-change-permissions","encrypt pdf vs change permissions","encrypt or pdf or vs or change or permissions|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/jpg-to-pdf-vs-image-to-pdf","jpg to pdf vs image to pdf","jpg or to or pdf or vs or image or to or pdf|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/pdf-to-jpg-vs-extract-images","pdf to jpg vs extract images","pdf or to or jpg or vs or extract or images|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/ocr-pdf-vs-pdf-to-docx","ocr pdf vs pdf to docx","ocr or pdf or vs or pdf or to or docx|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/flatten-pdf-vs-sanitize-pdf","flatten pdf vs sanitize pdf","flatten or pdf or vs or sanitize or pdf|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/crop-pdf-vs-fix-page-size","crop pdf vs fix page size","crop or pdf or vs or fix or page or size|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/rotate-pdf-vs-rotate-custom","rotate pdf vs rotate custom","rotate or pdf or vs or rotate or custom|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/pdf-booklet-vs-n-up-pdf","pdf booklet vs n up pdf","pdf or booklet or vs or n or up or pdf|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/delete-pages-vs-remove-blank-pages","delete pages vs remove blank pages","delete or pages or vs or remove or blank or pages|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/form-filler-vs-form-creator","form filler vs form creator","form or filler or vs or form or creator|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/digital-sign-pdf-vs-sign-pdf","digital sign pdf vs sign pdf","digital or sign or pdf or vs or sign or pdf|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/repair-pdf-vs-sanitize-pdf","repair pdf vs sanitize pdf","repair or pdf or vs or sanitize or pdf|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/pdf-to-excel-vs-pdf-to-csv","pdf to excel vs pdf to csv","pdf or to or excel or vs or pdf or to or csv|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/word-to-pdf-vs-rtf-to-pdf","word to pdf vs rtf to pdf","word or to or pdf or vs or rtf or to or pdf|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/png-to-pdf-vs-jpg-to-pdf","png to pdf vs jpg to pdf","png or to or pdf or vs or jpg or to or pdf|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","comparison","/en/guides/pdf-multi-tool-vs-organize-pdf","pdf multi tool vs organize pdf","pdf or multi or tool or vs or organize or pdf|which pdf tool should i use","Choose the correct adjacent PDF tool","Medium","High","Medium","planned - route required","P1"
"PDF workflows","spec","/en/guides/pdf-file-size-limit-guide","pdf file size limit guide","pdf file size limit guide pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-page-size-guide","pdf page size guide","pdf page size guide pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-password-permissions-guide","pdf password permissions guide","pdf password permissions guide pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-metadata-fields-guide","pdf metadata fields guide","pdf metadata fields guide pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-ocr-language-guide","pdf ocr language guide","pdf ocr language guide pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-image-quality-guide","pdf image quality guide","pdf image quality guide pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-signature-validation-guide","pdf signature validation guide","pdf signature validation guide pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-a-vs-standard-pdf","pdf a vs standard pdf","pdf a vs standard pdf pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-form-field-compatibility","pdf form field compatibility","pdf form field compatibility pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-attachment-compatibility","pdf attachment compatibility","pdf attachment compatibility pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-compression-settings-guide","pdf compression settings guide","pdf compression settings guide pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-redaction-safety-checklist","pdf redaction safety checklist","pdf redaction safety checklist pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-bookmark-structure-guide","pdf bookmark structure guide","pdf bookmark structure guide pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-print-ready-size-guide","pdf print ready size guide","pdf print ready size guide pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","spec","/en/guides/pdf-mobile-upload-checklist","pdf mobile upload checklist","pdf mobile upload checklist pdf|pdf requirements","Understand a maintained PDF requirement before using a tool","Medium","Medium","Low","planned - editorial required","P2"
"PDF workflows","workflow","/en/workflows/prepare-pdf-for-upload","prepare pdf for upload","prepare pdf for upload workflow|how to prepare pdf for upload","Complete a multi-step PDF job","High","High","Low","planned - route required","P1"
"PDF workflows","workflow","/en/workflows/clean-pdf-before-sharing","clean pdf before sharing","clean pdf before sharing workflow|how to clean pdf before sharing","Complete a multi-step PDF job","High","High","Low","planned - route required","P1"
"PDF workflows","workflow","/en/workflows/make-scanned-pdf-searchable","make scanned pdf searchable","make scanned pdf searchable workflow|how to make scanned pdf searchable","Complete a multi-step PDF job","High","High","Low","planned - route required","P1"
"PDF workflows","workflow","/en/workflows/combine-images-into-pdf-packet","combine images into pdf packet","combine images into pdf packet workflow|how to combine images into pdf packet","Complete a multi-step PDF job","High","High","Low","planned - route required","P1"
"PDF workflows","workflow","/en/workflows/create-signed-pdf-packet","create signed pdf packet","create signed pdf packet workflow|how to create signed pdf packet","Complete a multi-step PDF job","High","High","Low","planned - route required","P1"
"PDF workflows","workflow","/en/workflows/compress-and-split-large-pdf","compress and split large pdf","compress and split large pdf workflow|how to compress and split large pdf","Complete a multi-step PDF job","High","High","Low","planned - route required","P1"
"PDF workflows","workflow","/en/workflows/redact-and-flatten-pdf","redact and flatten pdf","redact and flatten pdf workflow|how to redact and flatten pdf","Complete a multi-step PDF job","High","High","Low","planned - route required","P1"
"PDF workflows","workflow","/en/workflows/convert-office-files-to-pdf","convert office files to pdf","convert office files to pdf workflow|how to convert office files to pdf","Complete a multi-step PDF job","High","High","Low","planned - route required","P1"
"PDF workflows","workflow","/en/workflows/extract-pdf-pages-and-images","extract pdf pages and images","extract pdf pages and images workflow|how to extract pdf pages and images","Complete a multi-step PDF job","High","High","Low","planned - route required","P1"
"PDF workflows","workflow","/en/workflows/organize-repair-secure-pdf","organize repair secure pdf","organize repair secure pdf workflow|how to organize repair secure pdf","Complete a multi-step PDF job","High","High","Low","planned - route required","P1"
"Exact-KB image and upload-limit fixes","tool","/tools/compress-image-to-20kb","compress image to 20kb","make photo under 20kb|reduce jpg to 20kb|compress png to 20kb","Hit a common exact upload-size limit","High","High","Low","planned - build image compressor first","P1"
"Exact-KB image and upload-limit fixes","tool","/tools/compress-image-to-30kb","compress image to 30kb","make photo under 30kb|reduce jpg to 30kb|compress png to 30kb","Hit a common exact upload-size limit","High","High","Medium","planned - build image compressor first","P1"
"Exact-KB image and upload-limit fixes","tool","/tools/compress-image-to-40kb","compress image to 40kb","make photo under 40kb|reduce jpg to 40kb|compress png to 40kb","Hit a common exact upload-size limit","High","High","Medium","planned - build image compressor first","P1"
